DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
233997,233997,UT,21:28:55 17-Sep-2022,Argos,B,62.9423,-12.1858,1342,8105,222,91,,,,,,
233997,233997,UT,21:34:55 17-Sep-2022,Argos,B,62.9403,-12.1900,1328,5674,310,91,,,,,,
233997,233997,UT,22:13:06 17-Sep-2022,Argos,1,62.9349,-12.1645,846,4554,157,75,,,,,,
233997,233997,UT,22:37:53 17-Sep-2022,Argos,B,62.9410,-12.1799,5185,82547,325,86,,,,,,
233997,233997,UT,18:56:05 18-Sep-2022,Argos,B,63.4154,-13.0324,25115,57176,11032,71,,,,,,
233997,233997,UT,18:56:59 18-Sep-2022,Argos,B,62.9672,-14.3266,15634,,,,,,,,,
233997,233997,UT,19:26:28 18-Sep-2022,Argos,0,63.0472,-14.3211,1504,28943,78,83,,,,,,
233997,233997,UT,19:39:43 18-Sep-2022,Argos,0,63.0530,-14.4142,5161,147244,180,97,,,,,,
233997,233997,UT,19:52:09 18-Sep-2022,Argos,B,63.0502,-14.4177,4613,48232,441,102,,,,,,
233997,233997,UT,20:32:51 18-Sep-2022,Argos,1,62.9888,-14.1452,582,1924,176,72,,,,,,
233997,233997,UT,20:32:51 18-Sep-2022,Argos,1,62.9916,-14.1403,706,3296,151,69,,,,,,
233997,233997,UT,21:14:29 18-Sep-2022,Argos,1,62.9271,-14.1723,555,712,432,50,,,,,,
233997,233997,UT,21:16:00 18-Sep-2022,Argos,2,62.9376,-14.1977,414,751,228,71,,,,,,
233997,233997,UT,22:02:20 18-Sep-2022,Argos,B,62.8902,-14.1945,1194,27615,51,79,,,,,,
233997,233997,UT,22:12:49 18-Sep-2022,Argos,0,62.9493,-14.0589,2766,9214,830,48,,,,,,
233997,233997,UT,22:21:35 18-Sep-2022,Argos,B,62.9397,-14.0498,2471,5944,1027,87,,,,,,
233997,233997,UT,22:45:58 18-Sep-2022,Argos,B,62.9387,-14.0710,4250,9784,1846,94,,,,,,
233997,233997,UT,18:41:33 19-Sep-2022,Argos,B,63.4187,-13.7831,32478,163196,6463,77,,,,,,
233997,233997,UT,19:07:28 19-Sep-2022,Argos,B,63.3512,-14.0255,19751,74448,5240,79,,,,,,
233997,233997,UT,19:25:04 19-Sep-2022,Argos,A,63.4107,-16.2156,2519,18582,341,93,,,,,,
233997,233997,UT,19:26:24 19-Sep-2022,Argos,B,63.4107,-16.2155,5521,14619,2085,91,,,,,,
233997,233997,UT,20:20:34 19-Sep-2022,Argos,1,63.4666,-16.1964,1028,7309,144,87,,,,,,
233997,233997,UT,20:42:10 19-Sep-2022,Argos,1,63.4546,-16.2582,1056,5377,207,100,,,,,,
233997,233997,UT,20:56:49 19-Sep-2022,Argos,B,63.4476,-16.2504,1883,24558,144,78,,,,,,
233997,233997,UT,21:04:03 19-Sep-2022,Argos,B,63.4396,-16.2680,365,3087,43,96,,,,,,
233997,233997,UT,18:34:13 20-Sep-2022,Argos,B,63.4640,-16.4625,3965,6286,2501,67,,,,,,
233997,233997,UT,18:39:48 20-Sep-2022,Argos,B,63.0327,-16.6253,1844,5064,671,87,,,,,,
233997,233997,UT,19:04:17 20-Sep-2022,Argos,B,62.9818,-16.7119,12013,60776,2374,88,,,,,,
233997,233997,UT,19:54:35 20-Sep-2022,Argos,1,62.9757,-17.0085,963,6566,141,83,,,,,,
233997,233997,UT,20:01:18 20-Sep-2022,Argos,B,62.9755,-17.0207,1417,3667,547,87,,,,,,
233997,233997,UT,20:12:49 20-Sep-2022,Argos,B,62.9776,-17.0148,1876,5565,632,88,,,,,,
233997,233997,UT,20:30:23 20-Sep-2022,Argos,B,62.9786,-17.1149,577,747,445,19,,,,,,
233997,233997,UT,21:37:33 20-Sep-2022,Argos,B,62.9915,-17.2505,1173,9245,148,83,,,,,,
233997,233997,UT,21:38:11 20-Sep-2022,Argos,A,63.0432,-17.2178,618,7734,49,75,,,,,,
233997,233997,UT,21:51:45 20-Sep-2022,Argos,A,63.0410,-17.2339,826,1019,669,36,,,,,,
233997,233997,UT,21:59:29 20-Sep-2022,Argos,B,63.0410,-17.2324,479,867,265,87,,,,,,
233997,233997,UT,22:08:27 20-Sep-2022,Argos,1,63.0438,-17.2723,877,2424,316,78,,,,,,
233997,233997,UT,19:39:54 21-Sep-2022,Argos,B,63.2721,-19.4802,29298,53548,16029,94,,,,,,
233997,233997,UT,19:56:18 21-Sep-2022,Argos,B,63.3374,-19.4260,18384,,,,,,,,,
233997,233997,UT,19:58:18 21-Sep-2022,Argos,B,63.3342,-19.3913,3533,185773,67,95,,,,,,
233997,233997,UT,20:00:58 21-Sep-2022,Argos,0,63.3907,-19.2564,77736,,,,,,,,,
233997,233997,UT,20:19:16 21-Sep-2022,Argos,B,63.3818,-19.2943,53074,571729,4926,79,,,,,,
233997,233997,UT,20:25:17 21-Sep-2022,Argos,0,63.3357,-19.5753,1593,4747,534,112,,,,,,
233997,233997,UT,21:13:44 21-Sep-2022,Argos,A,63.3958,-19.4334,7297,243578,218,82,,,,,,
233997,233997,UT,21:26:44 21-Sep-2022,Argos,B,63.3969,-19.4456,7650,55804,1048,75,,,,,,
233997,233997,UT,21:37:32 21-Sep-2022,Argos,B,63.3802,-19.4820,645,3290,126,80,,,,,,
233997,233997,UT,21:38:57 21-Sep-2022,Argos,0,63.3518,-19.7130,2803,4635,1695,118,,,,,,
233997,233997,UT,21:41:19 21-Sep-2022,Argos,A,63.3678,-19.6315,1471,2532,854,56,,,,,,
233997,233997,UT,21:57:22 21-Sep-2022,Argos,1,63.3455,-19.8358,768,3124,188,77,,,,,,
233997,233997,UT,22:54:27 21-Sep-2022,Argos,0,63.3339,-19.8432,3980,21928,722,71,,,,,,
